1,Telecom,1.1,Initial Project,1.1.1.1,First Module,1.1.1.1.1,Error 1 of  of First Module In Initial Project under Telecom,No Mitigation yet :(,No links yet ,User1,False,null,null
1,Telecom,1.2,Secondary Project,1.1.2.1,First Module,1.1.2.1.1,Error 1 of  of First Module In Secondary Project under Telecom,No Mitigation yet :(,No links yet ,User2,False,null,null
1,Telecom,1.3,Final Project,1.1.3.1,First Module,1.1.3.1.1,Error 1 of  of First Module In Final Project under Telecom,No Mitigation yet :(,No links yet ,User3,False,null,null
2,CITI APAC,2.1,Initial Project,2.2.1.1,First Module,2.2.1.1.1,Error 1 of  of First Module In Initial Project under CITI APAC,No Mitigation yet :(,No links yet ,User1,False,null,null
2,CITI APAC,2.2,Secondary Project,2.2.2.1,First Module,2.2.2.1.1,Error 1 of  of First Module In Secondary Project under CITI APAC,No Mitigation yet :(,No links yet ,User2,True,User3,User1;User2
2,CITI APAC,2.3,Final Project,2.2.3.1,First Module,2.2.3.1.1,Error 1 of  of First Module In Final Project under CITI APAC,No Mitigation yet :(,No links yet ,User3,False,null,null
3,CITI Mexico,3.1,Initial Project,3.3.1.1,First Module,3.3.1.1.1,Error 1 of  of First Module In Initial Project under CITI Mexico,No Mitigation yet :(,No links yet ,User1,False,null,null
3,CITI Mexico,3.2,Secondary Project,3.3.2.1,First Module,3.3.2.1.1,Error 1 of  of First Module In Secondary Project under CITI Mexico,No Mitigation yet :(,No links yet ,User2,False,null,null
3,CITI Mexico,3.3,Final Project,3.3.3.1,First Module,3.3.3.1.1,Error 1 of  of First Module In Final Project under CITI Mexico,No Mitigation yet :(,No links yet ,User3,False,null,null
4,SAMBA Europe,4.1,Initial Project,4.4.1.1,First Module,4.4.1.1.1,Error 1 of  of First Module In Initial Project under SAMBA Europe,No Mitigation yet :(,No links yet ,User1,True,User2,User1;User3
4,SAMBA Europe,4.2,Secondary Project,4.4.2.1,First Module,4.4.2.1.1,Error 1 of  of First Module In Secondary Project under SAMBA Europe,No Mitigation yet :(,No links yet ,User2,False,null,null
4,SAMBA Europe,4.3,Final Project,4.4.3.1,First Module,4.4.3.1.1,Error 1 of  of First Module In Final Project under SAMBA Europe,No Mitigation yet :(,No links yet ,User3,False,null,null
5,Middle East,5.1,Initial Project,5.5.1.1,First Module,5.5.1.1.1,Error 1 of  of First Module In Initial Project under Middle East,No Mitigation yet :(,No links yet ,User1,False,null,null
5,Middle East,5.2,Secondary Project,5.5.2.1,First Module,5.5.2.1.1,Error 1 of  of First Module In Secondary Project under Middle East,No Mitigation yet :(,No links yet ,User2,False,null,null
5,Middle East,5.3,Final Project,5.5.3.1,First Module,5.5.3.1.1,Error 1 of  of First Module In Final Project under Middle East,No Mitigation yet :(,No links yet ,User3,True,User1,null
6,SCB,6.1,Initial Project,6.6.1.1,First Module,6.6.1.1.1,Error 1 of  of First Module In Initial Project under SCB,No Mitigation yet :(,No links yet ,User1,False,null,null
6,SCB,6.2,Secondary Project,6.6.2.1,First Module,6.6.2.1.1,Error 1 of  of First Module In Secondary Project under SCB,No Mitigation yet :(,No links yet ,User2,False,null,null
6,SCB,6.3,Final Project,6.6.3.1,First Module,6.6.3.1.1,Error 1 of  of First Module In Final Project under SCB,No Mitigation yet :(,No links yet ,User3,False,null,null
7,Delivery,7.1,Initial Project,7.7.1.1,First Module,7.7.1.1.1,Error 1 of  of First Module In Initial Project under Delivery,No Mitigation yet :(,No links yet ,User1,False,null,null
7,Delivery,7.2,Secondary Project,7.7.2.1,First Module,7.7.2.1.1,Error 1 of  of First Module In Secondary Project under Delivery,No Mitigation yet :(,No links yet ,User2,False,null,null
7,Delivery,7.3,Final Project,7.7.3.1,First Module,7.7.3.1.1,Error 1 of  of First Module In Final Project under Delivery,No Mitigation yet :(,No links yet ,User3,False,null,null
14,T24,14.1,Initial Project,14.14.1.1,First Module,14.14.1.1.1,Error 1 of  of First Module In Initial Project under T24,No Mitigation yet :(,No links yet ,User1,False,null,null
14,T24,14.2,Secondary Project,14.14.2.1,First Module,14.14.2.1.1,Error 1 of  of First Module In Secondary Project under T24,No Mitigation yet :(,No links yet ,User2,True,User4,User1;User3
14,T24,14.3,Final Project,14.14.3.1,First Module,14.14.3.1.1,Error 1 of  of First Module In Final Project under T24,No Mitigation yet :(,No links yet ,User3,False,null,null
1,Telecom,1.1,Initial Project,1.1.1.2,Second Module,1.1.1.2.1,Error 1 of  of Second Module In Initial Project under Telecom,No Mitigation yet :(,No links yet ,User1,False,null,null
1,Telecom,1.2,Secondary Project,1.1.2.2,Second Module,1.1.2.2.1,Error 1 of  of Second Module In Secondary Project under Telecom,No Mitigation yet :(,No links yet ,User2,False,null,null
1,Telecom,1.3,Final Project,1.1.3.2,Second Module,1.1.3.2.1,Error 1 of  of Second Module In Final Project under Telecom,No Mitigation yet :(,No links yet ,User3,False,null,null
2,CITI APAC,2.1,Initial Project,2.2.1.2,Second Module,2.2.1.2.1,Error 1 of  of Second Module In Initial Project under CITI APAC,No Mitigation yet :(,No links yet ,User1,True,User3,User1;User4
2,CITI APAC,2.2,Secondary Project,2.2.2.2,Second Module,2.2.2.2.1,Error 1 of  of Second Module In Secondary Project under CITI APAC,No Mitigation yet :(,No links yet ,User2,False,null,null
2,CITI APAC,2.3,Final Project,2.2.3.2,Second Module,2.2.3.2.1,Error 1 of  of Second Module In Final Project under CITI APAC,No Mitigation yet :(,No links yet ,User3,False,null,null
3,CITI Mexico,3.1,Initial Project,3.3.1.2,Second Module,3.3.1.2.1,Error 1 of  of Second Module In Initial Project under CITI Mexico,No Mitigation yet :(,No links yet ,User1,False,null,null
3,CITI Mexico,3.2,Secondary Project,3.3.2.2,Second Module,3.3.2.2.1,Error 1 of  of Second Module In Secondary Project under CITI Mexico,No Mitigation yet :(,No links yet ,User2,False,null,null
3,CITI Mexico,3.3,Final Project,3.3.3.2,Second Module,3.3.3.2.1,Error 1 of  of Second Module In Final Project under CITI Mexico,No Mitigation yet :(,No links yet ,User3,True,User2,null
4,SAMBA Europe,4.1,Initial Project,4.4.1.2,Second Module,4.4.1.2.1,Error 1 of  of Second Module In Initial Project under SAMBA Europe,No Mitigation yet :(,No links yet ,User1,False,null,null
4,SAMBA Europe,4.2,Secondary Project,4.4.2.2,Second Module,4.4.2.2.1,Error 1 of  of Second Module In Secondary Project under SAMBA Europe,No Mitigation yet :(,No links yet ,User2,False,null,null
4,SAMBA Europe,4.3,Final Project,4.4.3.2,Second Module,4.4.3.2.1,Error 1 of  of Second Module In Final Project under SAMBA Europe,No Mitigation yet :(,No links yet ,User3,False,null,null
5,Middle East,5.1,Initial Project,5.5.1.2,Second Module,5.5.1.2.1,Error 1 of  of Second Module In Initial Project under Middle East,No Mitigation yet :(,No links yet ,User1,False,null,null
5,Middle East,5.2,Secondary Project,5.5.2.2,Second Module,5.5.2.2.1,Error 1 of  of Second Module In Secondary Project under Middle East,No Mitigation yet :(,No links yet ,User2,False,null,null
5,Middle East,5.3,Final Project,5.5.3.2,Second Module,5.5.3.2.1,Error 1 of  of Second Module In Final Project under Middle East,No Mitigation yet :(,No links yet ,User3,False,null,null
6,SCB,6.1,Initial Project,6.6.1.2,Second Module,6.6.1.2.1,Error 1 of  of Second Module In Initial Project under SCB,No Mitigation yet :(,No links yet ,User1,False,null,null
6,SCB,6.2,Secondary Project,6.6.2.2,Second Module,6.6.2.2.1,Error 1 of  of Second Module In Secondary Project under SCB,No Mitigation yet :(,No links yet ,User2,True,User5,User1;User4
6,SCB,6.3,Final Project,6.6.3.2,Second Module,6.6.3.2.1,Error 1 of  of Second Module In Final Project under SCB,No Mitigation yet :(,No links yet ,User3,False,null,null
7,Delivery,7.1,Initial Project,7.7.1.2,Second Module,7.7.1.2.1,Error 1 of  of Second Module In Initial Project under Delivery,No Mitigation yet :(,No links yet ,User1,False,null,null
